Age,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,
17,106.20,95.90,87.30,80.10,74.00,68.70,64.00,60.00,56.20,53.00,50.10,47.50,45.10,43.00,41.00,39.20,37.50,36.00,34.60,33.30,32.10,31.00,30.00,29.00,28.00,27.10,,
18,106.20,95.90,87.30,80.10,74.00,68.70,64.00,60.00,56.20,53.00,50.10,47.50,45.10,43.00,41.00,39.20,37.50,36.00,34.60,33.30,32.10,31.00,30.00,29.00,28.00,27.10,,
19,106.20,95.90,87.30,80.10,74.00,68.70,64.00,60.00,56.20,53.00,50.10,47.50,45.10,43.00,41.00,39.20,37.50,36.00,34.60,33.30,32.10,31.00,30.00,29.00,28.00,27.20,,
20,106.20,95.90,87.30,80.10,74.00,68.70,64.00,60.00,56.20,53.00,50.10,47.50,45.10,43.00,41.00,39.20,37.50,36.00,34.60,33.30,32.10,31.00,30.00,29.00,28.10,27.30,,
21,106.20,95.90,87.40,80.10,74.00,68.70,64.00,60.00,56.20,53.00,50.20,47.50,45.10,43.00,41.00,39.20,37.50,36.00,34.60,33.30,32.20,31.00,30.00,29.10,28.10,27.30,,
22,106.20,95.90,87.40,80.20,74.00,68.70,64.00,60.00,56.20,53.00,50.20,47.60,45.10,43.00,41.00,39.30,37.60,36.10,34.70,33.40,32.20,31.10,30.10,29.10,28.20,27.40,,
23,106.20,95.90,87.40,80.20,74.00,68.70,64.00,60.00,56.30,53.00,50.20,47.60,45.20,43.00,41.10,39.30,37.60,36.10,34.70,33.40,32.30,31.20,30.10,29.20,28.30,27.50,,
24,106.20,95.90,87.40,80.20,74.00,68.70,64.10,60.00,56.30,53.00,50.20,47.60,45.20,43.10,41.10,39.30,37.70,36.20,34.80,33.50,32.30,31.20,30.20,29.30,28.40,27.60,,
25,106.20,95.90,87.40,80.20,74.00,68.70,64.10,60.00,56.30,53.00,50.20,47.60,45.20,43.10,41.10,39.40,37.70,36.20,34.80,33.50,32.40,31.30,30.30,29.30,28.50,27.70,,
26,106.20,95.90,87.40,80.20,74.00,68.70,64.10,60.10,56.30,53.20,50.20,47.70,45.30,43.10,41.20,39.40,37.80,36.30,34.90,33.60,32.50,31.40,30.40,29.40,28.60,27.80,,
27,106.20,96.00,87.40,80.30,74.10,68.70,64.10,60.10,56.40,53.20,50.30,47.70,45.30,43.20,41.20,39.50,37.80,36.30,35.00,33.70,32.60,31.50,30.50,29.60,28.70,27.90,,
28,106.20,96.00,87.50,80.30,74.10,68.80,64.20,60.10,56.40,53.20,50.30,47.70,45.40,43.20,41.30,39.50,37.90,36.40,35.00,33.80,32.70,31.60,30.60,29.70,28.80,28.10,,
29,106.30,96.00,87.50,80.30,74.10,68.80,64.20,60.10,56.50,53.30,50.40,47.80,45.40,43.30,41.40,39.60,38.00,36.50,35.20,33.90,32.80,31.70,30.70,29.80,29.00,28.20,,
30,106.30,96.00,87.50,80.30,74.20,68.80,64.20,60.20,56.50,53.30,50.40,47.80,45.50,43.40,41.50,39.70,38.10,36.70,35.30,34.00,32.90,31.90,30.90,30.30,29.20,28.40,,
31,106.30,96.00,87.50,80.30,74.20,68.90,64.30,60.20,56.60,53.40,50.50,47.90,45.60,43.50,41.60,39.80,38.20,36.80,35.40,34.20,33.10,32.00,31.10,30.20,29.40,28.70,,
32,106.30,96.00,87.50,80.40,74.20,68.90,64.30,60.30,56.60,53.40,50.60,48.00,45.70,43.60,41.70,40.00,38.40,36.90,35.60,34.40,33.30,32.20,31.30,30.40,29.60,28.90,,
33,106.40,96.10,87.60,80.40,74.30,69.00,64.40,60.30,56.70,53.50,50.70,48.10,45.80,43.70,41.80,40.10,38.50,37.10,35.80,34.60,33.50,32.50,31.50,30.70,29.90,29.20,,
34,106.40,96.10,87.60,80.50,74.30,69.10,64.40,60.40,56.80,53.60,50.80,48.30,46.00,43.90,42.00,40.30,38.70,37.30,36.00,34.80,33.70,32.70,31.80,31.00,30.20,29.50,,
35,106.50,96.20,87.70,80.50,74.40,69.20,64.50,60.50,57.00,53.70,51.00,48.40,46.10,44.00,42.20,40.50,38.90,37.50,36.20,35.10,34.00,33.00,32.10,31.30,30.50,29.80,,
36,106.50,96.30,87.80,80.60,74.50,69.30,64.60,60.60,57.10,53.70,51.10,48.60,46.30,44.30,42.40,40.70,39.20,37.80,36.50,35.30,34.30,33.30,32.40,31.60,30.90,,,
37,106.60,96.40,87.90,80.60,74.60,69.40,64.80,60.80,57.20,54.10,51.30,48.80,46.50,44.50,42.70,41.00,39.50,38.10,36.80,35.70,34.60,33.70,32.80,32.00,,,,
38,106.70,96.50,88.00,80.90,74.80,69.60,65.00,61.00,57.40,54.30,51.50,49.00,46.80,44.80,43.00,41.30,39.80,38.40,37.10,36.00,35.00,34.10,33.20,,,,,
39,106.90,96.60,88.20,81.00,75.00,69.80,65.20,61.20,57.70,54.50,51.80,49.30,47.10,45.10,43.30,41.60,40.10,38.80,37.50,36.40,35.40,34.50,,,,,,
40,107.00,96.80,88.30,81.20,75.20,70.00,65.40,61.40,57.90,54.80,52.10,49.60,47.40,45.40,43.60,42.00,40.50,39.20,38.00,36.90,35.90,,,,,,,
41,107.20,97.00,88.60,81.40,75.40,70.20,65.70,61.70,58.20,55.10,52.40,50.00,47.80,45.80,44.00,42.40,40.90,39.60,38.50,37.40,,,,,,,,
42,107.40,97.20,88.80,81.70,75.70,70.50,65.90,62.00,58.50,55.40,52.80,50.30,48.10,46.20,44.40,42.80,41.40,40.10,39.00,,,,,,,,,
43,107.60,97.50,89.00,82.02,75.90,70.80,66.30,62.30,58.90,55.90,53.20,50.80,48.60,46.60,45.00,43.40,42.00,40.70,,,,,,,,,,
44,107.90,97.70,89.30,82.00,76.30,71.20,66.60,62.70,59.30,56.30,53.60,51.20,49.10,47.20,45.50,43.90,42.50,,,,,,,,,,,
45,108.20,98.00,89.70,82.60,76.60,71.50,67.10,63.10,59.70,56.80,54.10,51.70,49.60,47.70,46.00,44.50,,,,,,,,,,,,
46,108.50,98.40,90.00,83.00,77.00,72.00,67.50,63.70,60.30,57.30,54.60,52.30,50.20,48.40,46.70,,,,,,,,,,,,,
47,108.90,98.80,90.40,83.40,77.50,72.40,68.10,64.10,60.80,57.90,55.20,52.90,50.90,49.00,,,,,,,,,,,,,,
48,109.30,99.20,90.90,83.90,78.00,73.00,68.50,64.70,61.40,58.50,55.90,53.60,51.60,,,,,,,,,,,,,,,
49,109.70,99.70,91.40,84.40,78.50,73.50,69.20,65.30,62.10,59.20,56.60,54.40,,,,,,,,,,,,,,,,
50,110.20,100.20,91.90,85.00,79.10,74.20,69.80,66.00,62.80,60.00,57.40,,,,,,,,,,,,,,,,,
51,110.80,100.70,92.50,85.60,79.80,74.90,70.60,66.80,63.60,60.80,,,,,,,,,,,,,,,,,,
52,111.30,101.40,93.20,86.30,80.50,75.60,71.40,67.70,64.50,,,,,,,,,,,,,,,,,,,
53,112.00,102.00,93.90,87.10,81.30,76.50,72.20,68.60,,,,,,,,,,,,,,,,,,,,
54,112.70,102.80,94.70,87.90,82.20,77.40,73.20,,,,,,,,,,,,,,,,,,,,,
55,113.50,103.60,95.50,88.80,83.20,78.40,,,,,,,,,,,,,,,,,,,,,,
56,114.30,104.60,96.50,89.90,84.30,,,,,,,,,,,,,,,,,,,,,,,
57,115.30,105.60,97.60,91.00,,,,,,,,,,,,,,,,,,,,,,,,
58,116.30,106.70,98.80,,,,,,,,,,,,,,,,,,,,,,,,,
59,117.4,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,
60,118.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
