Age,12,15,18,21,24,,,,,,
20,96,77.1,64.6,55.7,49,,,,,,
21,96,77.1,64.6,55.7,49.1,,,,,,
22,96,77.1,64.6,55.7,49.1,,,,,,
23,96,77.1,64.6,55.8,49.2,,,,,,
24,96,77.2,64.7,55.8,49.3,,,,,,
25,96,77.2,64.7,55.9,49.4,,,,,,
26,96,77.2,64.7,55.9,49.5,,,,,,
27,96.1,77.3,64.8,56,49.6,,,,,,
28,96.1,77.3,64.9,56.1,49.7,,,,,,
29,96.1,77.4,65,56.3,49.9,,,,,,
30,96.2,77.4,65.1,56.4,50,,,,,,
31,96.3,77.5,65.2,56.6,50.2,,,,,,
32,96.3,77.6,65.3,56.7,50.5,,,,,,
33,96.4,77.8,65.5,57,50.7,,,,,,
34,96.5,77.9,65.7,57.2,51,,,,,,
35,96.7,78.1,65.9,57.5,51.4,,,,,,
36,96.8,78.3,66.2,57.8,51.7,,,,,,
37,97,78.6,66.5,58.2,52.2,,,,,,
38,97.3,78.8,66.8,58.5,52.6,,,,,,
39,97.5,79.2,67.2,59,53.1,,,,,,
40,97.8,79.5,67.6,59.5,53.7,,,,,,
41,98.2,79.9,68.1,60,54.3,,,,,,
42,98.5,80.4,68.6,60.6,55,,,,,,
43,99,80.9,69.2,61.3,55.8,,,,,,
44,99.4,81.4,69.8,62,56.6,,,,,,
45,100,82,70.5,62.8,57.5,,,,,,
46,100.5,82.7,71.3,63.7,58.5,,,,,,
47,101.2,83.4,72.1,64.1,,,,,,,
48,101.9,84.2,73,65.7,,,,,,,
49,102.6,85.1,74,66.8,,,,,,,
50,103.4,86,75.1,,,,,,,,
51,104.4,87.1,76.3,,,,,,,,
52,105.4,88.2,77.6,,,,,,,,
53,106.4,89.5,,,,,,,,,
54,107.6,90.9,,,,,,,,,
55,108.9,92.3,,,,,,,,,
56,110.4,,,,,,,,,,
57,111.9,,,,,,,,,,
58,113.7,,,,,,,,,,
