Age,6,9,12,15,18,21
20,876.67,781.02,698.23,626.46,564.17,510.04
21,876.67,781.02,698.23,626.46,564.17,510.05
22,876.67,781.02,698.23,626.46,564.17,510.06
23,876.67,781.02,698.23,626.46,564.17,510.08
24,876.67,781.02,698.23,626.46,564.17,510.11
25,876.67,781.02,698.23,626.46,564.17,510.18
26,876.67,781.02,698.23,626.46,564.17,510.28
27,876.67,781.02,698.23,626.46,564.17,510.45
28,876.67,781.02,698.23,626.46,564.36,510.66
29,876.67,781.02,698.23,626.46,564.53,510.94
30,876.67,781.02,698.23,626.57,564.77,511.31
31,876.67,781.02,698.23,626.76,565.06,511.75
32,876.67,781.02,698.23,627,565.43,512.29
33,876.67,781.02,698.44,627.29,565.88,512.93
34,876.67,781.02,698.67,627.65,566.41,513.68
35,876.67,781.15,698.94,628.07,567.03,514.55
36,876.67,781.35,699.26,628.56,567.75,515.56
37,876.74,781.57,699.63,629.14,568.59,516.71
38,876.88,781.83,700.06,629.81,569.55,518.01
39,877.04,782.13,700.57,630.58,570.65,519.49
40,877.23,782.48,701.15,631.46,571.89,521.18
41,877.44,782.89,701.83,632.47,573.3,523.1
42,877.69,783.36,702.6,633.61,574.9,525.28
43,877.98,783.91,703.49,634.92,576.72,527.76
44,878.31,784.54,704.5,636.39,578.78,530.58
45,878.71,785.27,705.65,638.06,581.14,533.78
46,879.16,786.1,706.95,639.96,583.81,537.39
47,879.67,787.04,708.41,642.11,586.83,541.46
48,880.27,788.11,710.07,644.56,590.27,546.04
49,880.95,789.31,711.96,647.34,594.15,551.16
50,881.72,790.66,714.09,650.48,598.5,556.87
51,882.57,792.17,716.5,654.04,603.39,563.21
52,883.54,793.89,719.24,658.05,608.85,570.24
53,884.61,795.84,722.35,662.55,614.94,577.99
54,885.82,798.05,725.86,667.61,621.7,586.5
55,887.19,800.57,729.82,673.25,629.16,
56,888.76,803.43,734.29,679.54,637.39,
57,890.55,806.68,739.3,686.52,646.44,
58,892.61,810.35,744.9,694.25,,
59,894.96,814.5,751.15,702.77,,
60,897.63,819.16,758.09,712.13,,
