Age,10,11,12,13,14,15
20,10800,12000,13200,14400,15600,16900
21,10800,12000,13200,14400,15600,16900
22,10800,12000,13200,14400,15600,16900
23,10800,12000,13200,14400,15600,16900
24,10800,12000,13200,14400,15600,16900
25,10800,12000,13200,14400,15600,16900
26,10800,12000,13200,14400,15600,16900
27,10800,12000,13200,14400,15600,16900
28,10800,12000,13200,14400,15600,16900
29,10800,12000,13200,14400,15600,16900
30,10800,12000,13200,14400,15600,16900
31,10800,12000,13200,14400,15600,16900
32,10800,12000,13200,14400,15600,16900
33,10800,12000,13200,14400,15600,16900
34,10800,12000,13200,14400,15600,16900
35,10800,12000,13200,14400,15600,16900
36,10800,12000,13200,14400,15600,16900
37,10800,12000,13200,14400,15600,16800
38,10800,11900,13100,14400,15600,16800
39,10800,11900,13100,14300,15600,16800
40,10800,11900,13100,14300,15600,16800
41,10700,11900,13100,14300,15500,16800
42,10700,11900,13100,14300,15500,16700
43,10700,11900,13100,14300,15500,16700
44,10700,11900,13100,14200,15400,16600
45,10700,11900,13000,14200,15400,16600
46,10700,11800,13000,14200,15400,16500
47,10700,11800,13000,14100,15300,16500
48,10600,11800,12900,14100,15300,16400
49,10600,11800,12900,14100,15200,16300
50,10600,11700,12900,14000,15100,16300
51,10600,11700,12800,13900,15100,16200
52,10500,11600,12800,13900,15000,16100
53,10500,11600,12700,13800,14900,15900
54,10500,11500,12600,13700,14800,15800
55,10400,11500,12500,13600,14600,15700
56,10400,11400,12500,13500,14500,
57,10300,11300,12400,13400,,
58,10200,11300,12200,,,
59,10200,11200,,,,
60,10100,,,,,
